timestamp,query,confidence,memory_id,sim_query,sim_answer,sim_docs,source,latency,memory_size,retrieval_count,memory_count
2026-04-09 15:57:53.690925,What is NLP?,0,,,,,retrieval,20.9571316242218,1,1,0
2026-04-09 16:00:16.925214,What is Dynamic Programming,0,,,,,retrieval,9.80436635017395,1,1,0
2026-04-09 16:00:49.551469,What is Graph Traversal?,0,,,,,retrieval,15.942845582962036,2,2,0
2026-04-09 16:02:07.788808,What is Graph Traversal?,0,,,,,retrieval,6.595873117446899,3,3,0
2026-04-09 16:02:26.764481,What is Graph Traversal?,0,,,,,retrieval,10.041993856430054,4,4,0
2026-04-09 16:08:25.535854,What is Graph traversalmethods!,0.882919192314148,1,0.882919192314148,0.7015781402587891,0.4207663759589195,memory,28.265625476837158,4,0,1
2026-04-09 16:14:27.309305,What is a linked list?,0.38486939668655396,1,0.38486939668655396,0.22651901841163635,0.6610366255044937,retrieval,16.66740369796753,5,1,1
2026-04-09 16:14:55.430303,Which is a linear data structure?,0.30272555351257324,1,0.30272555351257324,0.19030256569385529,0.30852866545319557,retrieval,10.898273468017578,6,2,1
2026-04-09 16:15:20.579793,Whst is a linked list!,0.6518304347991943,4,0.6518304347991943,0.5087953805923462,0.4640115797519684,retrieval,10.131434202194214,7,3,1
2026-04-09 16:18:35.398058,What is a linked list.,0.9892556071281433,4,0.9892556071281433,0.8950468897819519,0.6563822440803051,memory,13.940271615982056,7,0,1
2026-04-09 16:18:58.017313,Where can we use a liked list?,0.39128559827804565,4,0.39128559827804565,0.2831394672393799,0.2550896294414997,retrieval,20.080211877822876,8,1,1
2026-04-10 10:41:50.720096,What is graph traversal techiques?,0.9003885984420776,1,0.9003885984420776,0.7227247953414917,0.44966690987348557,memory,26.128512859344482,8,1,2
2026-04-10 10:42:49.791143,eixxt,0.1438680738210678,6,0.1438680738210678,0.026329223066568375,0.011120876268250868,retrieval,22.038114309310913,9,2,2
2026-04-11 12:11:20.329317,What are graph traversal algorithms?,0.9353413581848145,1,0.9353413581848145,0.8043713569641113,0.4676608592271805,memory,14.95829963684082,9,0,1
2026-04-11 18:34:13.125742,,0.2584688663482666,8,0.2584688663482666,0.03375799581408501,0.04992880905047059,retrieval,12.66009259223938,10,1,0
2026-04-11 18:34:14.647532,,1.0,9,1.0,-0.07074322551488876,0.07132938830181956,memory,1.5214943885803223,10,1,1
2026-04-11 18:34:15.954687,,1.0,9,1.0,-0.07074322551488876,0.07132938830181956,memory,1.3067450523376465,10,1,2
2026-04-11 18:34:17.583533,What is NLP?,0.24158766865730286,1,0.24158766865730286,0.11517918109893799,0.14374719373881817,retrieval,1.6285393238067627,11,2,2
2026-04-11 18:40:27.756582,What is the linear data structure discussed here?,0.8905638456344604,5,0.8905638456344604,0.40896546840667725,0.3537708595395088,memory,7.190815448760986,11,0,1
2026-04-11 18:40:30.282501,\,0.6566228866577148,9,0.6566228866577148,-0.11740750074386597,0.03098696516826749,retrieval,2.5256426334381104,12,1,1
2026-04-11 18:45:42.234116,What are search trees?,0.494802862405777,1,0.494802862405777,0.37856900691986084,0.31171123683452606,retrieval,8.827863454818726,13,1,0
2026-04-11 18:46:35.213431,"lookup, insertion type uses are implemented in which type of Data Structures?",0.5349817276000977,5,0.5349817276000977,0.40199774503707886,0.42855658382177353,retrieval,2.5129952430725098,14,2,0
2026-04-11 18:46:57.442955,Types of Search Trees?,0.8839702606201172,12,0.8839702606201172,0.6839221715927124,0.4147489443421364,memory,1.3395020961761475,14,2,1
2026-04-11 18:47:37.785805,Search Tree,0.8207094073295593,12,0.8207094073295593,0.6622945070266724,0.40383681654930115,memory,0.9590234756469727,14,2,2
2026-04-14 23:32:52.895429,what method do stacks follow?,0.3254985809326172,4,0.3254985809326172,0.2052566111087799,0.22014139592647552,retrieval,10.274874210357666,15,1,0
2026-04-14 23:35:51.912997,what do queues follow?,0.30075788497924805,1,0.30075788497924805,0.24454209208488464,0.18585114181041718,retrieval,6.448159694671631,16,2,0
2026-04-14 23:36:28.517309,difference between what queues and stacks follow?,0.741775631904602,15,0.741775631904602,0.5836000442504883,0.34350018575787544,retrieval,17.34211778640747,17,3,0
2026-04-15 00:49:08.940914,WHAT ARE QUEUES!,0.8540506958961487,15,0.8540506958961487,0.6118464469909668,0.30654704570770264,memory,9.552140474319458,17,0,1
2026-04-15 00:50:06.126743,what is the difference between queues and stacks,0.9456275105476379,16,0.9456275105476379,0.8281641602516174,0.31658042408525944,memory,16.955695867538452,17,0,2
2026-04-16 14:06:36.146276,What is a linked list?,1.0000001192092896,4,1.0000001192092896,0.8908931612968445,0.658864751458168,memory,14.030395984649658,17,0,1
2026-04-16 14:06:43.810407,What is binary search tree?,0.8107602596282959,12,0.8107602596282959,0.796100378036499,0.4593818932771683,memory,7.6630470752716064,17,0,2
2026-04-16 14:06:51.232950,What principle does a stack follow?,0.7763391733169556,14,0.7763391733169556,0.6375889182090759,0.3734513223171234,memory,7.421428918838501,17,0,3
